term,explanation
客单价,平均每个客户单次购买的金额，反映客户消费能力和产品定价策略的重要指标，用于销售分析和客户价值评估
转化率,访问用户中实际完成购买行为的比例，衡量营销效果和用户体验的关键指标，广泛用于电商和销售分析
同比,与去年同期相比的增长率，用于分析业务的年度发展趋势和季节性变化，是时间序列分析的重要方法
环比,与上一个统计周期相比的增长率，用于分析短期业务变化和发展趋势，常用于月度、季度数据分析
库存周转率,一定时期内库存的周转次数，反映库存管理效率和资金使用效率，是供应链和运营管理的核心指标
复购率,重复购买的客户比例，衡量客户忠诚度和产品满意度的重要指标，用于客户关系管理和销售策略制定
GMV,Gross Merchandise Volume，商品交易总额，电商平台衡量业务规模的核心指标，反映平台整体销售表现
SKU,Stock Keeping Unit，库存量单位，用于区分不同规格、颜色、尺寸的商品，是商品管理和库存控制的基础
ROI,Return on Investment，投资回报率，衡量投资效果和资源配置效率的财务指标，用于评估营销活动和项目收益
用户画像,基于用户行为数据和属性特征构建的用户模型，用于精准营销和个性化服务，是客户分析的重要工具
